identifier,class,subclass,luminosity_class,full_class,recno,spt,effective_temperature_1,log_surface_gravity_1,metallicity_fe_h_1,visual_magnitude,effective_temperature_2,log_surface_gravity_2,metallicity_fe_h_2,radius,mass,luminosity,distance,lamost,date
19830117_J055644.92+203554.5,A,A3,IV,A3IV,8808,kA1hA2mA3,,,,11.025,7649.0,3.6388,,3.358,1.79,34.77453,894.323,J055644.92+203554.5,1983-01-17 14:09:00
19830117_J055840.10+202931.3,F,F0,,F0,8948,kA6hA9mF3,7276.0,3.762,0.442,13.06,7298.0,3.727,0.473,2.913,1.65,21.67781,1443.3199,J055840.10+202931.3,1983-01-17 14:23:00
19850107_J055811.24+203641.4,A,A1,IV,A1IV,8906,kA1hA3mA4,,,,15.006,7969.0,4.0665,,2.125,1.92,16.41425,2315.6899,J055811.24+203641.4,1985-01-07 14:39:00
19850308_J055900.56+204947.8,A,A7,V,A7V,8966,kA4hA5mA8,7426.0,4.067,-0.088,15.214,7423.0,4.2351,-0.09,1.647,1.7,7.4201,1799.8,J055900.56+204947.8,1985-03-08 11:48:00
19850107_J055747.79+204032.6,A,A7,V,A7V,8882,kA7hA8mF1,7618.0,4.007,0.006,14.399,7622.0,4.0441,0.017,2.1,1.78,13.40477,1903.78,J055747.79+204032.6,1985-01-07 16:13:00
19830117_J055812.15+205522.1,A,A6,IV,A6IV,8907,kA2hA7mA8,,,,10.58,7827.0,,0.06,,,,344.678,J055812.15+205522.1,1983-01-17 14:23:00
19830117_J055854.72+205913.3,F,F0,,F0,8961,kA7hF2mF2,7082.0,3.855,0.167,13.311,7090.0,,0.169,,,,1168.74,J055854.72+205913.3,1983-01-17 14:23:00
19830117_J055536.15+203258.4,A,A5,V,A5V,8743,kA1hA7mA7,8388.0,4.384,0.144,12.904,7530.0,3.8843,,2.495,1.74,18.0365,1301.99,J055536.15+203258.4,1983-01-17 15:27:00
19850107_J060037.56+205600.4,A,A5,V,A5V,9065,kA3hA8mF1,,,,14.38,7068.0,3.6453,,3.111,1.56,21.76504,1664.01,J060037.56+205600.4,1985-01-07 16:13:00
19850107_J060058.44+211301.6,A,A1,V,A1V,9095,kA0hA1mA2,,,,14.374,9777.0,3.9834,,2.669,2.5,58.62676,1995.49,J060058.44+211301.6,1985-01-07 14:39:00
19830117_J055958.36+214944.4,A,A1,IV,A1IV,9027,kA1hA2mA3,,,,12.178,8277.0,3.8628,,2.77,2.04,32.4429,1062.85,J055958.36+214944.4,1983-01-17 14:51:00
19851014_J060521.65+205552.3,F,F0,,F0,9466,kA7hF0mF0,7344.0,4.025,-0.2,14.708,7345.0,4.103,-0.198,1.901,1.67,9.47334,1789.4,J060521.65+205552.3,1985-10-14 20:38:00
19910116_J060626.22+210456.1,F,F0,,F0,9576,kA8hF3mF2,6665.0,3.93,-0.008,13.375,6726.0,3.8432,0.045,2.372,1.43,10.37473,1265.33,J060626.22+210456.1,1991-01-16 15:26:00
19831018_J060554.12+210333.2,A,A5,V,A5V,9514,kA2hA7mA8,8374.0,4.154,0.309,13.523,8376.0,4.3539,0.311,1.585,2.07,11.14003,1288.04,J060554.12+210333.2,1983-10-18 19:43:00
19870317_J060535.23+212044.1,A,A2,V,A2V,9489,kA0hA1mA2,,,,,,,,,,,,J060535.23+212044.1,1987-03-17 11:22:00
19871222_J060732.33+211905.0,F,F0,,F0,9687,kA6hA9mF0,7234.0,4.009,0.178,13.151,6947.0,4.1322,,1.753,1.52,6.45126,947.928,J060732.33+211905.0,1987-12-22 15:48:00
19860103_J060813.18+212400.2,F,F0,,F0,9755,kA2hF0mF1,7433.0,3.911,0.415,13.673,7434.0,4.109,0.416,1.904,1.7,9.97912,1355.9301,J060813.18+212400.2,1986-01-03 14:47:00
19871212_J060758.08+212704.4,F,F0,,F0,9729,kA7hA9mF1,7253.0,4.151,-0.13,14.06,7250.0,3.7574,-0.111,2.795,1.63,19.45053,1563.97,J060758.08+212704.4,1987-12-12 16:51:00
19870106_J060555.43+212004.0,A,A5,V,A5V,9520,kA4hA7mA8,7750.0,4.176,-0.068,13.753,5741.0,4.4838,,0.961,1.026,0.90368,539.368,J060555.43+212004.0,1987-01-06 16:11:00
19870317_J060556.47+212108.1,F,F0,,F0,9522,kA6hA8mF0,7333.0,4.031,-0.018,11.624,7367.0,4.2145,-0.003,1.677,1.68,7.46121,673.838,J060556.47+212108.1,1987-03-17 11:22:00
